bbref_name,bbref_id,nba_name,nba_id
Walker Kessler,kesslwa01,Walker Kessler,1631117
Braxton Key,keybr01,Braxton Key,1630296
Louis King,kinglo02,Louis King,1629663
Corey Kispert,kispeco01,Corey Kispert,1630557
Maxi Kleber,klebima01,Maxi Kleber,1628467
Nathan Knight,knighna01,Nathan Knight,1630233
Christian Koloko,kolokch01,Christian Koloko,1631132
John Konchar,konchjo01,John Konchar,1629723
Furkan Korkmaz,korkmfu01,Furkan Korkmaz,1627788
Luke Kornet,kornelu01,Luke Kornet,1628436
Vit Krejci,krejcvi01,Vit Krejci,1630249
Jonathan Kuminga,kuminjo01,Jonathan Kuminga,1630228
Kyle Kuzma,kuzmaky01,Kyle Kuzma,1628398
Anthony Lamb,lamban01,Anthony Lamb,1630237
Jock Landale,landajo01,Jock Landale,1629111
Romeo Langford,langfro01,Romeo Langford,1629641
Jake LaRavia,laravja01,Jake LaRavia,1631222
Zach LaVine,lavinza01,Zach LaVine,203897
A.J. Lawson,lawsoaj01,A.J. Lawson,1630639
Damion Lee,leeda03,Damion Lee,1627814
Saben Lee,leesa01,Saben Lee,1630240
Alex Len,lenal01,Alex Len,203458
Kawhi Leonard,leonaka01,Kawhi Leonard,202695
Meyers Leonard,leoname01,Meyers Leonard,203086
Caris LeVert,leverca01,Caris LeVert,1627747
Kira Lewis Jr.,lewiski01,Kira Lewis Jr.,1630184
Damian Lillard,lillada01,Damian Lillard,203081
Nassir Little,littlna01,Nassir Little,1629642
Isaiah Livers,liveris01,Isaiah Livers,1630587
Kenneth Lofton Jr.,loftoke01,Kenneth Lofton Jr.,1631254
Kevon Looney,looneke01,Kevon Looney,1626172
Brook Lopez,lopezbr01,Brook Lopez,201572
Robin Lopez,lopezro01,Robin Lopez,201577
Kevin Love,loveke01,Kevin Love,201567
Kyle Lowry,lowryky01,Kyle Lowry,200768
Trey Lyles,lylestr01,Trey Lyles,1626168
Sandro Mamukelashvili,mamuksa01,Sandro Mamukelashvili,1630572
Terance Mann,mannte01,Terance Mann,1629611
Tre Mann,manntr01,Tre Mann,1630544
Naji Marshall,marshna01,Naji Marshall,1630230
Caleb Martin,martica02,Caleb Martin,1628997
Cody Martin,martico01,Cody Martin,1628998
Kenyon Martin Jr.,martike04,Kenyon Martin Jr.,1630231
Tyrese Martin,martity01,Tyrese Martin,1631213
Garrison Mathews,mathega01,Garrison Mathews,1629726
Bennedict Mathurin,mathube01,Bennedict Mathurin,1631097
Wesley Matthews,matthwe02,Wesley Matthews,202083
Tyrese Maxey,maxeyty01,Tyrese Maxey,1630178
